Plot,TreeID,Lat,Long,Elev.m,Slope,Aspect,Atemp.c,Stemp.c,WindSpeed.m-s,WindDirection,RH,Girth.cm,Height.m,Cones
1,1,35.34,111.65,2987,0.05,NE,20,10.9,2.2,SE,18,71.12,7.5,50
1,2,35.34,111.65,2987,0.05,NE,21,11.5,2.2,SE,19,45.72,6.8,75
1,3,35.34,111.65,2987,0.05,NE,18,NA,2.2,SE,18,43.18,6.6,50
1,4,35.34,111.65,2987,0.05,NE,20,19.4,2.2,NA,19,81.28,8.6,100
1,5,35.34,111.65,2987,0.05,NE,18,13.8,2.2,SE,17,32.5,11.8,30
1,6,35.34,111.65,2987,0.05,NE,20,11,2.2,SE,18,73.66,5.8,95
1,7,35.34,111.65,2987,0.05,NE,22,5.5,2.2,SE,18,47.24,3.5,10
1,8,35.34,111.65,2987,0.05,NE,19,8.3,2.2,SE,17,92.71,7.3,50
2,1,35.33,111.65,3057,,N NE,18,16.5,0,NA,19,56,8.6,3
2,2,35.33,111.65,3057,,N NE,18,16.5,0,NA,19,22.86,3.5,0
2,3,35.33,111.65,3057,,N NE,18,16.5,0,NA,19,45.72,4.6,0
2,4,35.33,111.65,3057,,N NE,18,16.5,0,NA,19,35,4.8,0
2,5,35.33,111.65,3057,,N NE,18,16.5,0,NA,19,42,4.2,2
2,6,35.33,111.65,3057,,N NE,18,16.5,0,NA,19,68,6.93,30
2,7,35.33,111.65,3057,,N NE,18,16.5,0,NA,19,54,7.2,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
